t,x,xdot
87.9,-0.614831,-2.59098
88,-0.831491,-2.58503
88.1,-1.04854,-2.50051
88.2,-1.25915,-2.32915
88.3,-1.45533,-2.07531
88.4,-1.62913,-1.75736
88.5,-1.77432,-1.40387
88.6,-1.88769,-1.04587
88.7,-1.96925,-0.709052
88.8,-2.02156,-0.409436
88.9,-2.04853,-0.153308
89,-2.05441,0.0602333
89.1,-2.04307,0.236148
89.2,-2.01776,0.380989
89.3,-1.98106,0.501378
89.4,-1.9349,0.603262
89.5,-1.88071,0.691668
89.6,-1.81946,0.770718
89.7,-1.75183,0.843754
89.8,-1.67821,0.913503
89.9,-1.59875,0.982227
90,-1.51347,1.05186
90.1,-1.42218,1.12409
90.2,-1.32458,1.20049
90.3,-1.22023,1.28249
90.4,-1.10857,1.37146
90.5,-0.988908,1.46863
90.6,-0.860463,1.57504
90.7,-0.722373,1.69133
90.8,-0.573752,1.81747
90.9,-0.413782,1.95225
91,-0.24186,2.0927
91.1,-0.057831,2.23316
91.2,0.137699,2.36452
91.3,0.342991,2.47361
91.4,0.554839,2.5437
91.5,0.768449,2.55652
91.6,0.977724,2.49636
91.7,1.17602,2.3551
91.8,1.35716,2.13615
91.9,1.51639,1.85487
92,1.65076,1.53483
92.1,1.75916,1.2018
92.2,1.84195,0.878203
92.3,1.90061,0.579857
92.4,1.93728,0.315365
92.5,1.95446,0.0872346
92.6,1.95473,-0.106239
92.7,1.94051,-0.26915
92.8,1.91393,-0.40657
92.9,1.87679,-0.52365
93,1.83055,-0.625132
93.1,1.77632,-0.715156
93.2,1.71492,-0.797238
93.3,1.64692,-0.874329
93.4,1.57266,-0.948924
93.5,1.4923,-1.02316
93.6,1.40583,-1.09889
93.7,1.31312,-1.17782
93.8,1.21388,-1.26148
